Instellation,P_background (bar),P_H2O (bar),P_CO2 (bar),Surface Albedo,Bond Albedo,Recirculation Factor,Surface Temperature (K)
0.5,1.0,0.1,1.0,0.05,0.3,0.25,311.9156086495946
0.5,1.0,1.0,0.001,0.05,0.3,0.25,299.2998537567341
0.5,1.0,1.0,0.01,0.05,0.3,0.25,306.96188872796256
0.5,1.0,0.1,0.1,0.05,0.3,0.25,282.8110966500636
0.5,1.0,0.1,10.0,0.05,0.3,0.25,293.09207373679277
0.5,1.0,1.0,1e-06,0.05,0.3,0.25,292.9005300565043
0.5,1.0,10.0,0.0001,0.05,0.3,0.25,465.50648542524596
0.5,1.0,1.0,1.0,0.05,0.3,0.25,379.4264512629646
0.5,1.0,10.0,1e-06,0.05,0.3,0.25,463.4480624503159
0.5,1.0,1.0,0.1,0.05,0.3,0.25,328.6307720211277
0.5,1.0,1.0,0.0001,0.05,0.3,0.25,295.6475233466167
0.6,1.0,1e-06,1e-06,0.05,0.3,0.25,219.8321410318357
0.6,1.0,1e-06,0.0001,0.05,0.3,0.25,223.99501514177155
0.6,1.0,1e-06,1e-05,0.05,0.3,0.25,221.73107894652043
0.6,1.0,1e-06,0.001,0.05,0.3,0.25,226.665332072159
0.5,1.0,10.0,0.1,0.05,0.3,0.25,498.4757214667976
0.6,1.0,1e-06,1.0,0.05,0.3,0.25,241.62807907529447
0.6,1.0,1e-06,0.1,0.05,0.3,0.25,232.97250085762212
0.6,1.0,1e-06,10.0,0.05,0.3,0.25,241.58625519561144
0.5,1.0,10.0,1e-05,0.05,0.3,0.25,464.0255214025253
0.6,1.0,1e-06,0.01,0.05,0.3,0.25,229.29913187945104
0.5,1.0,10.0,10.0,0.05,0.3,0.25,409.11645264423134
0.5,1.0,1.0,10.0,0.05,0.3,0.25,324.27832463164725
0.5,1.0,10.0,0.001,0.05,0.3,0.25,470.2109378332294
0.6,1.0,1e-05,1e-05,0.05,0.3,0.25,225.2578345514497
0.6,1.0,1e-05,1e-06,0.05,0.3,0.25,223.18213001364492
0.5,1.0,10.0,1.0,0.05,0.3,0.25,547.7244158388801
0.6,1.0,1e-05,0.0001,0.05,0.3,0.25,227.71876264367458
0.6,1.0,1e-05,0.001,0.05,0.3,0.25,230.61715929359957
0.6,1.0,1e-05,0.01,0.05,0.3,0.25,233.5633188982869
0.6,1.0,0.0001,1e-06,0.05,0.3,0.25,229.21069396086762
0.6,1.0,1e-05,10.0,0.05,0.3,0.25,244.54012815170623
0.6,1.0,1e-05,1.0,0.05,0.3,0.25,248.48280258845344
0.6,1.0,0.0001,0.0001,0.05,0.3,0.25,234.45415262051506
0.6,1.0,1e-05,0.1,0.05,0.3,0.25,237.8462835123736
0.6,1.0,0.0001,0.001,0.05,0.3,0.25,237.8266576070538
0.5,1.0,10.0,0.01,0.05,0.3,0.25,479.56838500827166
0.6,1.0,0.0001,1e-05,0.05,0.3,0.25,231.59562890159216
0.6,1.0,0.0001,1.0,0.05,0.3,0.25,262.22480693756967
0.6,1.0,0.001,0.0001,0.05,0.3,0.25,244.34672566933887
0.6,1.0,0.0001,10.0,0.05,0.3,0.25,252.273344024861
0.6,1.0,0.001,1e-05,0.05,0.3,0.25,240.90104550427594
0.6,1.0,0.0001,0.1,0.05,0.3,0.25,246.90925037573157
0.6,1.0,0.0001,0.01,0.05,0.3,0.25,241.38476339670464
0.6,1.0,0.001,0.1,0.05,0.3,0.25,260.44692402410413
0.6,1.0,0.001,0.01,0.05,0.3,0.25,252.98302164477738
0.6,1.0,0.001,1e-06,0.05,0.3,0.25,238.0924019256236
0.6,1.0,0.001,0.001,0.05,0.3,0.25,248.44757630660672
0.6,1.0,0.01,1e-06,0.05,0.3,0.25,250.39971223026595
0.6,1.0,0.001,1.0,0.05,0.3,0.25,281.9336273431001
0.6,1.0,0.01,1e-05,0.05,0.3,0.25,253.46976520506215
0.6,1.0,0.001,10.0,0.05,0.3,0.25,266.85642724275084
0.6,1.0,0.01,0.001,0.05,0.3,0.25,262.23772425411863
0.6,1.0,0.01,0.01,0.05,0.3,0.25,267.9139378127388
0.6,1.0,0.01,0.0001,0.05,0.3,0.25,257.43636071809954
0.6,1.0,0.01,0.1,0.05,0.3,0.25,277.87524019124214
0.6,1.0,1.0,1e-06,0.05,0.3,0.25,312.87188174140545
0.6,1.0,0.1,1e-06,0.05,0.3,0.25,267.44247793628654
0.6,1.0,0.1,0.0001,0.05,0.3,0.25,273.0440512954956
0.6,1.0,0.1,0.1,0.05,0.3,0.25,298.2015442992059
0.6,1.0,0.1,0.01,0.05,0.3,0.25,284.01614356922494
0.6,1.0,1.0,1e-05,0.05,0.3,0.25,313.63129995794696
0.6,1.0,1.0,0.0001,0.05,0.3,0.25,315.8581726800791
0.6,1.0,0.1,1e-05,0.05,0.3,0.25,269.6214069354207
0.6,1.0,1.0,0.001,0.05,0.3,0.25,320.14192836786003
0.6,1.0,0.1,10.0,0.05,0.3,0.25,312.39365238679466
